work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,MI,FT,Manager,100000,US,0,US,M
2025,SE,FT,Software Engineer,136000,US,0,US,M
2025,MI,FT,Data Scientist,207965,US,0,US,L
2025,MI,FT,Data Scientist,138643,US,0,US,L
2025,SE,FT,Data Scientist,266000,US,0,US,M
2025,SE,FT,Data Scientist,177000,US,0,US,M
2025,MI,FT,Data Analyst,90000,US,0,US,M
2025,MI,FT,Data Analyst,60000,US,0,US,M
2025,EN,FT,Data Analyst,98000,US,0,US,M
2025,EN,FT,Data Analyst,83000,US,0,US,M
2025,EN,FT,Data Analyst,123625,US,0,US,M
2025,EN,FT,Data Analyst,77265,US,0,US,M
2025,MI,FT,Data Analyst,110000,US,0,US,M
2025,MI,FT,Data Analyst,78000,US,0,US,M
2025,MI,FT,Data Engineer,115000,US,0,US,M
2025,MI,FT,Data Engineer,85000,US,0,US,M
2025,MI,FT,Software Engineer,208800,US,0,US,M
2025,MI,FT,Software Engineer,98300,US,0,US,M
2025,SE,FT,Engineering Manager,337000,US,0,US,M
2025,SE,FT,Engineering Manager,237000,US,0,US,M
2025,MI,FT,Engineer,239000,US,0,US,M
2025,MI,FT,Engineer,161000,US,0,US,M
2025,SE,FT,Software Engineer,141000,US,0,US,M
2025,SE,FT,Software Engineer,108000,US,0,US,M
2025,EN,FT,Data Analyst,112370,US,0,US,M
2025,EN,FT,Data Analyst,68640,US,0,US,M
2025,SE,FT,Software Engineer,37894,LT,0,LT,M
2025,SE,FT,Software Engineer,30315,LT,0,LT,M
2025,SE,FT,Data Engineer,221000,US,0,US,M
2025,SE,FT,Data Engineer,161000,US,0,US,M
2025,SE,FT,MLOps Engineer,209000,US,0,US,M
2025,SE,FT,MLOps Engineer,152000,US,0,US,M
2025,SE,FT,Manager,240400,US,0,US,M
2025,SE,FT,Manager,137400,US,0,US,M
2025,SE,FT,Business Intelligence Engineer,108500,US,100,US,M
2025,SE,FT,Business Intelligence Engineer,78800,US,100,US,M
2025,SE,FT,Associate,111500,US,0,US,M
